Fecha,ID_Producto,Producto,Cantidad,PrecioUnitario,Total,Region
2025-03-16,104,Monitor,10,1200,12000,Lima
2025-03-02,101,Silla,8,350,2800,Cusco
2025-03-12,103,Laptop,15,3200,48000,Cusco
2025-03-10,105,Teclado,14,250,3500,Trujillo
2025-03-09,104,Monitor,15,1200,18000,Lima
2025-03-05,104,Monitor,7,1200,8400,Arequipa
2025-03-11,106,Mouse,10,180,1800,Trujillo
2025-03-16,106,Mouse,14,180,2520,Lima
2025-03-12,102,Escritorio,6,850,5100,Arequipa
2025-03-01,103,Laptop,15,3200,48000,Arequipa
2025-03-15,104,Monitor,7,1200,8400,Cusco
2025-03-26,105,Teclado,12,250,3000,Lima
2025-03-04,104,Monitor,5,1200,6000,Arequipa
2025-03-05,102,Escritorio,8,850,6800,Trujillo
2025-03-07,104,Monitor,6,1200,7200,Lima
2025-03-12,103,Laptop,14,3200,44800,Lima
2025-03-07,106,Mouse,11,180,1980,Cusco
2025-03-21,101,Silla,8,350,2800,Lima
2025-03-10,101,Silla,6,350,2100,Cusco
2025-03-08,103,Laptop,9,3200,28800,Cusco
2025-03-20,103,Laptop,6,3200,19200,Cusco
2025-03-14,103,Laptop,15,3200,48000,Arequipa
2025-03-18,101,Silla,7,350,2450,Arequipa
2025-03-26,102,Escritorio,6,850,5100,Trujillo
2025-03-25,106,Mouse,14,180,2520,Trujillo
2025-03-02,104,Monitor,9,1200,10800,Cusco
2025-03-26,101,Silla,5,350,1750,Lima
2025-03-14,101,Silla,9,350,3150,Lima
2025-03-03,103,Laptop,4,3200,12800,Trujillo
2025-03-11,101,Silla,6,350,2100,Trujillo
2025-03-25,105,Teclado,6,250,1500,Arequipa
2025-03-23,101,Silla,11,350,3850,Trujillo
2025-03-08,105,Teclado,4,250,1000,Trujillo
2025-03-02,105,Teclado,7,250,1750,Arequipa
2025-03-22,101,Silla,11,350,3850,Trujillo
2025-03-19,101,Silla,9,350,3150,Cusco
2025-03-01,106,Mouse,11,180,1980,Lima
2025-03-12,101,Silla,6,350,2100,Arequipa
2025-03-03,105,Teclado,2,250,500,Lima
2025-03-07,103,Laptop,14,3200,44800,Arequipa
2025-03-13,101,Silla,3,350,1050,Cusco
2025-03-20,101,Silla,1,350,350,Arequipa
2025-03-24,106,Mouse,11,180,1980,Arequipa
2025-03-19,106,Mouse,4,180,720,Trujillo
2025-03-19,102,Escritorio,8,850,6800,Lima
2025-03-01,102,Escritorio,15,850,12750,Arequipa
2025-03-21,105,Teclado,9,250,2250,Trujillo
2025-03-21,105,Teclado,3,250,750,Lima
2025-03-20,105,Teclado,9,250,2250,Arequipa
2025-03-10,105,Teclado,5,250,1250,Trujillo
2025-03-25,105,Teclado,2,250,500,Trujillo
2025-03-13,104,Monitor,7,1200,8400,Arequipa
2025-03-09,106,Mouse,15,180,2700,Arequipa
2025-03-18,106,Mouse,1,180,180,Arequipa
2025-03-23,103,Laptop,9,3200,28800,Lima
2025-03-06,102,Escritorio,5,850,4250,Trujillo
2025-03-16,104,Monitor,5,1200,6000,Cusco
2025-03-27,102,Escritorio,12,850,10200,Trujillo
2025-03-28,103,Laptop,5,3200,16000,Lima
2025-03-21,103,Laptop,8,3200,25600,Arequipa
2025-03-06,106,Mouse,13,180,2340,Trujillo
2025-03-14,105,Teclado,14,250,3500,Trujillo
2025-03-20,102,Escritorio,8,850,6800,Cusco
2025-03-22,105,Teclado,2,250,500,Trujillo
2025-03-28,104,Monitor,14,1200,16800,Cusco
2025-03-19,103,Laptop,10,3200,32000,Arequipa
2025-03-17,103,Laptop,7,3200,22400,Trujillo
2025-03-10,106,Mouse,2,180,360,Cusco
2025-03-20,104,Monitor,14,1200,16800,Arequipa
2025-03-23,105,Teclado,10,250,2500,Cusco
2025-03-26,102,Escritorio,2,850,1700,Cusco
2025-03-14,103,Laptop,13,3200,41600,Trujillo
2025-03-05,103,Laptop,11,3200,35200,Arequipa
2025-03-01,105,Teclado,5,250,1250,Arequipa
2025-03-26,106,Mouse,7,180,1260,Lima
2025-03-26,105,Teclado,10,250,2500,Trujillo
2025-03-19,103,Laptop,13,3200,41600,Trujillo
2025-03-22,104,Monitor,7,1200,8400,Lima
2025-03-18,101,Silla,11,350,3850,Arequipa
2025-03-26,102,Escritorio,10,850,8500,Arequipa
2025-03-25,102,Escritorio,11,850,9350,Arequipa
2025-03-18,103,Laptop,7,3200,22400,Trujillo
2025-03-02,102,Escritorio,3,850,2550,Arequipa
2025-03-08,104,Monitor,4,1200,4800,Trujillo
2025-03-25,106,Mouse,9,180,1620,Cusco
2025-03-22,101,Silla,7,350,2450,Lima
2025-03-14,102,Escritorio,9,850,7650,Trujillo
2025-03-17,103,Laptop,12,3200,38400,Cusco
2025-03-08,104,Monitor,9,1200,10800,Lima
2025-03-11,103,Laptop,13,3200,41600,Cusco
2025-03-22,105,Teclado,7,250,1750,Cusco
2025-03-15,106,Mouse,13,180,2340,Trujillo
2025-03-22,106,Mouse,14,180,2520,Cusco
2025-03-13,104,Monitor,9,1200,10800,Lima
2025-03-12,101,Silla,15,350,5250,Cusco
2025-03-24,101,Silla,14,350,4900,Arequipa
2025-03-24,104,Monitor,11,1200,13200,Trujillo
2025-03-09,106,Mouse,7,180,1260,Cusco
2025-03-07,105,Teclado,5,250,1250,Trujillo
2025-03-15,102,Escritorio,3,850,2550,Lima
2025-03-04,103,Laptop,7,3200,22400,Cusco
2025-03-07,104,Monitor,6,1200,7200,Cusco
2025-03-02,103,Laptop,3,3200,9600,Lima
2025-03-03,103,Laptop,3,3200,9600,Trujillo
2025-03-15,104,Monitor,5,1200,6000,Lima
2025-03-02,103,Laptop,3,3200,9600,Arequipa
2025-03-21,103,Laptop,2,3200,6400,Lima
2025-03-12,105,Teclado,9,250,2250,Lima
2025-03-12,103,Laptop,7,3200,22400,Lima
2025-03-11,102,Escritorio,4,850,3400,Cusco
2025-03-03,101,Silla,9,350,3150,Cusco
2025-03-06,102,Escritorio,15,850,12750,Arequipa
2025-03-17,106,Mouse,10,180,1800,Trujillo
2025-03-23,104,Monitor,7,1200,8400,Arequipa
2025-03-16,102,Escritorio,14,850,11900,Lima
2025-03-07,103,Laptop,3,3200,9600,Arequipa
2025-03-01,105,Teclado,2,250,500,Trujillo
2025-03-24,101,Silla,15,350,5250,Lima
2025-03-16,106,Mouse,14,180,2520,Lima
2025-03-05,101,Silla,6,350,2100,Arequipa
2025-03-17,105,Teclado,2,250,500,Cusco
2025-03-27,103,Laptop,8,3200,25600,Cusco
