Fecha,ID_Producto,Producto,Cantidad,PrecioUnitario,Total,Region
2025-01-05,105,Teclado,12,250,3000,Lima
2025-01-05,104,Monitor,13,1200,15600,Arequipa
2025-01-10,101,Silla,13,350,4550,Cusco
2025-01-18,105,Teclado,7,250,1750,Lima
2025-01-19,101,Silla,15,350,5250,Trujillo
2025-01-19,106,Mouse,2,180,360,Trujillo
2025-01-10,105,Teclado,1,250,250,Cusco
2025-01-06,101,Silla,6,350,2100,Lima
2025-01-25,101,Silla,3,350,1050,Lima
2025-01-14,102,Escritorio,13,850,11050,Lima
2025-01-13,105,Teclado,2,250,500,Cusco
2025-01-18,101,Silla,12,350,4200,Lima
2025-01-24,103,Laptop,5,3200,16000,Trujillo
2025-01-18,101,Silla,15,350,5250,Lima
2025-01-16,106,Mouse,10,180,1800,Lima
2025-01-26,103,Laptop,1,3200,3200,Arequipa
2025-01-19,103,Laptop,7,3200,22400,Cusco
2025-01-19,103,Laptop,5,3200,16000,Cusco
2025-01-13,101,Silla,14,350,4900,Lima
2025-01-26,105,Teclado,11,250,2750,Cusco
2025-01-14,105,Teclado,1,250,250,Arequipa
2025-01-09,106,Mouse,8,180,1440,Cusco
2025-01-20,104,Monitor,7,1200,8400,Arequipa
2025-01-21,106,Mouse,10,180,1800,Cusco
2025-01-02,105,Teclado,11,250,2750,Trujillo
2025-01-20,103,Laptop,3,3200,9600,Cusco
2025-01-05,101,Silla,5,350,1750,Lima
2025-01-12,103,Laptop,10,3200,32000,Trujillo
2025-01-14,106,Mouse,8,180,1440,Arequipa
2025-01-07,103,Laptop,14,3200,44800,Cusco
2025-01-25,104,Monitor,7,1200,8400,Trujillo
2025-01-20,105,Teclado,2,250,500,Cusco
2025-01-04,102,Escritorio,1,850,850,Trujillo
2025-01-05,103,Laptop,8,3200,25600,Trujillo
2025-01-10,101,Silla,8,350,2800,Trujillo
2025-01-19,105,Teclado,6,250,1500,Lima
2025-01-22,102,Escritorio,13,850,11050,Trujillo
2025-01-26,102,Escritorio,10,850,8500,Trujillo
2025-01-04,104,Monitor,2,1200,2400,Trujillo
2025-01-25,104,Monitor,3,1200,3600,Trujillo
2025-01-25,104,Monitor,1,1200,1200,Arequipa
2025-01-17,103,Laptop,10,3200,32000,Arequipa
2025-01-13,103,Laptop,13,3200,41600,Trujillo
2025-01-02,104,Monitor,11,1200,13200,Lima
2025-01-13,104,Monitor,6,1200,7200,Arequipa
2025-01-16,104,Monitor,12,1200,14400,Cusco
2025-01-03,101,Silla,3,350,1050,Cusco
2025-01-07,104,Monitor,3,1200,3600,Lima
2025-01-11,106,Mouse,3,180,540,Arequipa
2025-01-07,103,Laptop,3,3200,9600,Cusco
2025-01-27,102,Escritorio,6,850,5100,Trujillo
2025-01-17,101,Silla,1,350,350,Cusco
2025-01-17,106,Mouse,14,180,2520,Cusco
2025-01-03,105,Teclado,7,250,1750,Trujillo
2025-01-12,102,Escritorio,2,850,1700,Lima
2025-01-05,103,Laptop,13,3200,41600,Lima
2025-01-24,106,Mouse,6,180,1080,Arequipa
2025-01-25,103,Laptop,4,3200,12800,Lima
2025-01-04,102,Escritorio,12,850,10200,Cusco
2025-01-14,103,Laptop,15,3200,48000,Lima
2025-01-27,103,Laptop,10,3200,32000,Arequipa
2025-01-05,103,Laptop,11,3200,35200,Arequipa
2025-01-24,102,Escritorio,3,850,2550,Lima
2025-01-03,101,Silla,10,350,3500,Arequipa
2025-01-09,105,Teclado,5,250,1250,Arequipa
2025-01-26,106,Mouse,2,180,360,Cusco
2025-01-26,106,Mouse,11,180,1980,Lima
2025-01-01,103,Laptop,14,3200,44800,Trujillo
2025-01-09,105,Teclado,4,250,1000,Arequipa
2025-01-21,106,Mouse,14,180,2520,Trujillo
2025-01-25,104,Monitor,10,1200,12000,Arequipa
2025-01-10,106,Mouse,14,180,2520,Lima
2025-01-04,102,Escritorio,2,850,1700,Trujillo
2025-01-08,105,Teclado,3,250,750,Lima
2025-01-20,102,Escritorio,8,850,6800,Lima
2025-01-21,105,Teclado,2,250,500,Lima
2025-01-22,101,Silla,13,350,4550,Trujillo
2025-01-10,102,Escritorio,14,850,11900,Arequipa
2025-01-15,104,Monitor,6,1200,7200,Trujillo
2025-01-11,102,Escritorio,11,850,9350,Cusco
2025-01-15,105,Teclado,8,250,2000,Cusco
2025-01-05,103,Laptop,14,3200,44800,Trujillo
2025-01-23,102,Escritorio,13,850,11050,Cusco
2025-01-18,105,Teclado,9,250,2250,Arequipa
2025-01-25,102,Escritorio,12,850,10200,Trujillo
2025-01-11,106,Mouse,3,180,540,Cusco
2025-01-06,103,Laptop,12,3200,38400,Arequipa
2025-01-07,106,Mouse,6,180,1080,Cusco
2025-01-15,101,Silla,2,350,700,Arequipa
2025-01-11,105,Teclado,1,250,250,Lima
